booking_id,deposit_type
0,No Deposit
1,No Deposit
2,No Deposit
3,No Deposit
4,No Deposit
5,No Deposit
6,No Deposit
7,No Deposit
8,No Deposit
9,No Deposit
10,No Deposit
11,No Deposit
12,No Deposit
13,No Deposit
14,No Deposit
15,No Deposit
16,No Deposit
17,No Deposit
18,No Deposit
19,No Deposit
20,No Deposit
21,No Deposit
22,No Deposit
23,No Deposit
24,No Deposit
25,No Deposit
26,No Deposit
27,No Deposit
28,No Deposit
29,No Deposit
30,No Deposit
31,No Deposit
32,No Deposit
33,No Deposit
34,No Deposit
35,No Deposit
36,No Deposit
37,No Deposit
38,No Deposit
39,No Deposit
40,No Deposit
41,No Deposit
42,No Deposit
43,No Deposit
44,No Deposit
45,No Deposit
46,No Deposit
47,No Deposit
48,No Deposit
49,No Deposit
50,No Deposit
51,No Deposit
52,No Deposit
53,No Deposit
54,No Deposit
55,No Deposit
56,No Deposit
57,No Deposit
58,No Deposit
59,No Deposit
60,No Deposit
61,No Deposit
62,No Deposit
63,No Deposit
64,No Deposit
65,No Deposit
66,No Deposit
67,No Deposit
68,No Deposit
69,No Deposit
70,No Deposit
71,No Deposit
72,No Deposit
73,No Deposit
74,No Deposit
75,No Deposit
76,No Deposit
77,No Deposit
78,No Deposit
79,No Deposit
80,No Deposit
81,No Deposit
82,No Deposit
83,No Deposit
84,No Deposit
85,No Deposit
86,No Deposit
87,No Deposit
88,No Deposit
89,No Deposit
90,No Deposit
91,No Deposit
92,No Deposit
93,No Deposit
94,No Deposit
95,No Deposit
96,No Deposit
97,No Deposit
98,No Deposit
99,No Deposit
100,No Deposit
101,No Deposit
102,No Deposit
103,No Deposit
104,No Deposit
105,No Deposit
106,No Deposit
107,No Deposit
108,No Deposit
109,No Deposit
110,No Deposit
111,No Deposit
112,No Deposit
113,No Deposit
114,No Deposit
115,No Deposit
116,No Deposit
117,No Deposit
118,No Deposit
119,No Deposit
120,No Deposit
121,No Deposit
122,No Deposit
123,No Deposit
124,No Deposit
125,No Deposit
126,No Deposit
127,No Deposit
128,No Deposit
129,No Deposit
130,No Deposit
131,No Deposit
132,No Deposit
133,No Deposit
134,No Deposit
135,No Deposit
136,No Deposit
137,No Deposit
138,No Deposit
139,No Deposit
140,No Deposit
141,No Deposit
142,No Deposit
143,No Deposit
144,No Deposit
145,No Deposit
146,No Deposit
147,No Deposit
148,No Deposit
149,No Deposit
150,No Deposit
151,No Deposit
152,No Deposit
153,No Deposit
154,No Deposit
155,No Deposit
156,No Deposit
157,No Deposit
158,No Deposit
159,No Deposit
160,No Deposit
161,No Deposit
162,No Deposit
163,No Deposit
164,No Deposit
165,No Deposit
166,No Deposit
167,No Deposit
168,No Deposit
169,No Deposit
170,No Deposit
171,No Deposit
172,No Deposit
173,No Deposit
174,No Deposit
175,No Deposit
176,No Deposit
177,No Deposit
178,No Deposit
179,No Deposit
180,No Deposit
181,No Deposit
182,No Deposit
183,No Deposit
184,No Deposit
185,No Deposit
186,No Deposit
187,No Deposit
188,No Deposit
189,No Deposit
190,No Deposit
191,No Deposit
192,No Deposit
193,No Deposit
194,No Deposit
195,No Deposit
196,No Deposit
197,No Deposit
198,No Deposit
199,No Deposit
200,No Deposit
201,No Deposit
202,No Deposit
203,No Deposit
204,No Deposit
205,No Deposit
206,No Deposit
207,No Deposit
208,No Deposit
209,No Deposit
210,No Deposit
211,No Deposit
212,No Deposit
213,No Deposit
214,No Deposit
215,No Deposit
216,No Deposit
217,No Deposit
218,No Deposit
219,No Deposit
220,No Deposit
221,No Deposit
222,No Deposit
223,No Deposit
224,No Deposit
225,No Deposit
226,No Deposit
227,No Deposit
228,No Deposit
229,No Deposit
230,No Deposit
231,No Deposit
232,No Deposit
233,No Deposit
234,No Deposit
235,No Deposit
236,No Deposit
237,No Deposit
238,No Deposit
239,No Deposit
240,No Deposit
241,No Deposit
242,No Deposit
243,No Deposit
244,No Deposit
245,No Deposit
246,No Deposit
247,No Deposit
248,No Deposit
249,No Deposit
250,No Deposit
251,No Deposit
252,No Deposit
253,No Deposit
254,No Deposit
255,No Deposit
256,No Deposit
257,No Deposit
258,No Deposit
259,No Deposit
260,No Deposit
261,No Deposit
262,No Deposit
263,No Deposit
264,No Deposit
265,No Deposit
266,No Deposit
267,No Deposit
268,No Deposit
269,No Deposit
270,No Deposit
271,No Deposit
272,No Deposit
273,No Deposit
274,No Deposit
275,No Deposit
276,No Deposit
277,No Deposit
278,No Deposit
279,No Deposit
280,No Deposit
281,No Deposit
282,No Deposit
283,No Deposit
284,No Deposit
285,No Deposit
286,No Deposit
287,No Deposit
288,No Deposit
289,No Deposit
290,No Deposit
291,No Deposit
292,No Deposit
293,No Deposit
294,No Deposit
295,No Deposit
296,No Deposit
297,No Deposit
298,No Deposit
299,No Deposit
300,No Deposit
301,No Deposit
302,No Deposit
303,No Deposit
304,No Deposit
305,No Deposit
306,No Deposit
307,No Deposit
308,No Deposit
309,No Deposit
310,No Deposit
311,No Deposit
312,No Deposit
313,No Deposit
314,No Deposit
315,No Deposit
316,No Deposit
317,No Deposit
318,No Deposit
319,No Deposit
320,No Deposit
321,No Deposit
322,No Deposit
323,No Deposit
324,No Deposit
325,No Deposit
326,No Deposit
327,No Deposit
328,No Deposit
329,No Deposit
330,No Deposit
331,No Deposit
332,No Deposit
333,No Deposit
334,No Deposit
335,No Deposit
336,No Deposit
337,No Deposit
338,No Deposit
339,No Deposit
340,No Deposit
341,No Deposit
342,No Deposit
343,No Deposit
344,No Deposit
345,No Deposit
346,No Deposit
347,No Deposit
348,No Deposit
349,No Deposit
350,No Deposit
351,No Deposit
352,No Deposit
353,No Deposit
354,No Deposit
355,No Deposit
356,No Deposit
357,No Deposit
358,No Deposit
359,No Deposit
360,No Deposit
361,No Deposit
362,No Deposit
363,No Deposit
364,No Deposit
365,No Deposit
366,No Deposit
367,No Deposit
368,No Deposit
369,No Deposit
370,No Deposit
371,No Deposit
372,No Deposit
373,No Deposit
374,No Deposit
375,No Deposit
376,No Deposit
377,No Deposit
378,No Deposit
379,No Deposit
380,No Deposit
381,No Deposit
382,No Deposit
383,No Deposit
384,No Deposit
385,No Deposit
386,No Deposit
387,No Deposit
388,No Deposit
389,No Deposit
390,No Deposit
391,No Deposit
392,No Deposit
393,No Deposit
394,No Deposit
395,No Deposit
396,No Deposit
397,No Deposit
398,No Deposit
399,No Deposit
400,No Deposit
401,No Deposit
402,No Deposit
403,No Deposit
