booking_id,reserved_room_type,assigned_room_type,booking_changes
0,A,C,0
1,A,A,0
2,A,A,0
3,A,A,0
4,C,C,0
5,C,C,0
6,D,D,0
7,D,E,0
8,G,G,1
9,E,E,0
10,D,E,0
11,E,E,0
12,A,E,0
13,A,G,0
14,G,G,0
15,F,F,0
16,A,A,1
17,A,A,1
18,D,D,1
19,D,I,0
20,D,D,0
21,D,D,0
22,A,A,0
23,D,D,0
24,A,A,2
25,D,D,0
26,E,E,3
27,A,C,0
28,A,C,0
29,A,B,0
30,D,E,0
31,A,A,0
32,A,C,2
33,A,A,0
34,A,A,0
35,A,A,0
36,A,A,0
37,A,A,1
38,A,A,1
39,A,A,1
40,A,A,1
41,A,A,1
42,A,A,1
43,A,A,1
44,A,A,1
45,A,A,1
46,A,A,1
47,A,A,1
48,A,A,1
49,A,A,1
50,A,A,1
51,A,A,0
52,A,A,0
53,A,A,0
54,A,A,0
55,A,A,0
56,A,A,0
57,A,A,0
58,A,A,0
59,A,A,0
60,A,A,0
61,A,A,0
62,A,A,0
63,A,A,0
64,A,A,0
65,A,A,0
66,A,A,0
67,A,A,0
68,A,A,0
69,A,A,0
70,A,A,0
71,A,A,0
72,A,A,0
73,A,A,0
74,A,A,0
75,A,A,0
76,A,A,0
77,A,A,0
78,A,A,0
79,A,A,0
80,A,A,0
81,A,A,0
82,A,A,0
83,A,A,0
84,A,A,0
85,A,A,0
86,A,A,0
87,A,A,0
88,A,A,0
89,A,A,0
90,A,A,0
91,A,A,0
92,A,A,0
93,A,A,0
94,A,A,0
95,A,A,0
96,A,A,0
97,A,A,0
98,A,A,1
99,A,A,0
100,A,A,0
101,A,C,0
102,A,C,0
103,D,D,0
104,E,E,0
105,D,D,0
106,F,F,0
107,E,E,0
108,A,A,0
109,A,A,0
110,E,E,0
111,A,B,1
112,E,F,1
113,D,D,0
114,A,A,0
115,D,D,0
116,A,C,0
117,H,H,0
118,C,C,0
119,H,H,0
120,A,D,0
121,G,G,0
122,A,C,0
123,G,G,0
124,E,E,0
125,F,F,0
126,A,C,0
127,A,A,0
128,A,A,0
129,A,A,0
130,A,A,0
131,E,E,0
132,E,E,0
133,D,D,0
134,A,A,0
135,D,D,0
136,A,A,1
137,A,A,0
138,A,A,0
139,G,H,0
140,A,C,0
141,D,D,0
142,D,D,0
143,A,A,0
144,A,A,0
145,A,A,0
146,A,A,0
147,A,A,0
148,D,D,0
149,A,A,0
150,A,A,0
151,E,E,0
152,E,E,0
153,F,F,1
154,A,C,0
155,A,C,0
156,A,C,0
157,E,E,0
158,C,C,0
159,A,A,0
160,E,E,0
161,D,D,0
162,E,E,0
163,F,F,0
164,G,G,0
165,A,A,0
166,A,A,0
167,A,A,0
168,A,A,1
169,A,A,0
170,A,A,0
171,A,A,1
172,A,A,0
173,A,A,0
174,A,A,0
175,A,A,0
176,A,A,1
177,A,C,0
178,D,D,0
179,F,F,0
180,A,C,0
181,E,E,0
182,A,A,0
183,A,A,0
184,D,D,0
185,E,F,0
186,A,A,0
187,E,E,0
188,A,A,0
189,D,D,0
190,D,D,0
191,D,D,1
192,H,G,1
193,D,C,0
194,E,G,1
195,E,E,0
196,A,C,0
197,A,A,0
198,A,A,0
199,A,C,0
200,D,D,0
201,A,A,0
202,E,G,0
203,A,A,0
204,A,A,0
205,E,E,0
206,A,A,1
207,A,A,0
208,D,D,0
209,D,D,0
210,A,A,0
211,A,A,0
212,A,A,0
213,A,A,0
214,A,A,0
215,A,A,0
216,A,A,0
217,A,A,0
218,A,A,0
219,A,A,0
220,A,A,1
221,A,A,0
222,A,A,0
223,A,C,0
224,D,D,0
225,A,C,1
226,A,A,0
227,A,D,0
228,A,E,0
229,A,A,0
230,D,D,0
231,G,G,0
232,G,G,3
233,D,E,0
234,D,D,0
235,A,D,0
236,E,E,0
237,E,E,0
238,H,H,0
239,A,A,0
240,C,C,1
241,F,F,0
242,E,E,0
243,H,H,1
244,D,D,0
245,D,C,3
246,D,D,0
247,A,A,0
248,D,D,0
249,A,A,0
250,G,G,0
251,A,C,0
252,A,A,0
253,A,A,0
254,A,A,0
255,A,A,0
256,A,A,0
257,A,A,0
258,A,A,0
259,A,A,0
260,A,A,0
261,A,A,1
262,A,A,0
263,G,G,1
264,A,C,0
265,G,G,0
266,D,D,0
267,G,G,0
268,D,E,1
269,G,G,0
270,A,E,0
271,A,E,0
272,D,F,0
273,D,D,0
274,A,E,0
275,A,C,1
276,E,E,0
277,F,F,0
278,A,C,0
279,E,E,1
280,G,G,0
281,A,A,0
282,A,C,0
283,A,A,0
284,D,D,1
285,F,F,5
286,D,D,0
287,A,A,1
288,D,D,0
289,A,A,0
290,D,D,0
291,A,C,0
292,E,E,0
293,A,A,0
294,A,C,0
295,A,A,0
296,D,D,0
297,E,E,0
298,A,A,0
299,E,E,0
300,A,A,0
301,A,A,0
302,A,A,0
303,A,A,0
304,A,A,0
305,F,F,0
306,A,A,0
307,C,C,0
308,A,A,0
309,H,H,2
310,D,D,0
311,D,E,0
312,A,A,2
313,D,D,0
314,D,D,0
315,E,E,1
316,D,D,1
317,A,A,0
318,A,A,0
319,E,E,0
320,A,A,0
321,G,G,0
322,G,G,0
323,E,E,0
324,A,A,2
325,A,D,0
326,D,D,0
327,D,D,0
328,A,A,0
329,A,A,0
330,B,B,0
331,B,B,2
332,A,A,0
333,A,A,0
334,E,E,0
335,A,A,0
336,A,A,0
337,D,D,0
338,A,A,0
339,A,A,0
340,A,A,0
341,A,A,0
342,A,F,0
343,E,E,1
344,E,F,0
345,D,D,0
346,E,E,0
347,A,A,0
348,E,E,1
349,E,E,0
350,D,D,1
351,D,D,0
352,A,A,0
353,D,D,2
354,A,A,2
355,A,A,0
356,D,D,0
357,A,A,0
358,A,A,0
359,A,A,0
360,A,A,0
361,A,A,0
362,A,A,0
363,A,A,0
364,A,A,0
365,A,A,0
366,A,A,0
367,A,A,0
368,A,A,0
369,A,A,0
370,A,A,0
371,A,A,0
372,A,A,0
373,A,A,0
374,A,A,0
375,A,A,0
376,A,A,1
377,A,A,1
378,A,A,1
379,C,C,0
380,A,C,0
381,H,G,2
382,A,A,0
383,A,A,0
384,A,A,0
385,A,A,0
386,A,D,0
387,A,A,0
388,E,E,0
389,E,E,0
390,A,A,0
391,L,A,0
392,E,E,1
393,E,E,1
394,A,A,0
395,A,A,0
396,A,A,0
397,A,A,0
398,A,A,0
399,A,A,0
400,A,A,0
401,A,A,0
402,D,D,1
403,A,A,0
404,D,D,0
405,A,A,0
406,A,A,0
407,A,A,0
408,A,A,0
409,A,A,0
410,A,A,0
411,A,A,0
412,A,A,0
413,A,A,0
414,A,A,0
415,G,G,2
416,D,D,1
417,A,A,0
418,C,C,0
419,A,C,0
420,E,E,0
421,F,F,0
422,F,F,0
423,A,A,0
424,C,C,1
425,G,G,0
426,A,A,1
427,D,D,1
428,D,D,1
429,E,E,1
430,E,E,2
431,F,F,0
432,C,C,0
433,C,C,0
434,A,A,0
435,D,D,0
436,F,F,0
437,C,C,0
438,D,D,0
439,F,F,0
440,E,E,0
441,A,B,0
442,D,D,0
443,G,G,1
444,D,D,0
445,D,D,0
446,D,D,0
447,E,E,0
448,A,A,0
449,A,A,0
450,A,A,1
451,A,A,0
452,A,A,0
453,A,A,1
454,D,D,0
455,A,A,0
456,E,E,0
457,E,E,0
458,E,E,0
459,E,E,1
460,A,A,0
461,A,A,1
462,G,G,0
463,A,A,0
464,A,A,0
465,A,A,0
466,C,C,0
467,E,F,0
468,A,A,0
469,D,D,0
470,A,A,0
471,G,G,1
472,E,E,1
473,A,A,0
474,E,E,0
475,A,A,0
476,E,H,0
477,A,A,0
478,E,E,0
479,A,A,1
480,A,A,1
481,D,D,0
482,D,D,0
483,E,E,1
484,A,A,1
485,A,A,0
486,A,A,1
487,A,A,0
488,A,A,0
489,A,A,0
490,A,A,0
491,A,A,0
492,A,A,0
493,A,A,0
494,A,A,0
495,A,A,0
496,A,A,0
497,A,A,0
498,A,A,0
499,A,A,0
500,A,A,0
501,A,A,0
502,A,A,0
503,A,A,0
504,A,A,0
505,A,A,0
506,A,A,0
507,A,A,0
508,A,A,0
509,A,A,0
510,A,A,0
511,A,A,0
512,A,A,0
513,A,A,0
514,A,A,0
515,A,A,0
516,G,G,0
517,A,A,0
518,A,A,0
519,A,A,0
520,D,D,0
521,A,A,0
522,D,D,1
523,A,A,0
524,A,A,0
525,E,E,0
526,D,D,0
527,A,A,0
528,D,D,0
529,E,E,0
530,A,A,0
531,A,A,0
532,D,D,0
533,A,A,0
534,D,D,2
535,A,A,0
536,A,A,0
537,G,G,0
538,A,A,0
539,F,E,0
540,A,B,0
541,A,A,0
542,D,D,1
543,A,A,0
544,A,D,0
545,E,E,2
546,G,G,0
547,D,D,0
548,F,F,0
549,H,H,0
550,D,D,0
551,D,D,0
552,A,A,0
553,A,A,0
554,A,A,0
555,A,A,0
556,A,A,1
557,A,A,0
558,G,G,0
559,A,A,1
560,A,A,0
561,A,A,0
562,A,C,0
563,A,C,0
564,A,A,0
565,L,H,0
566,A,A,0
567,A,A,0
568,D,E,0
569,A,A,0
570,A,A,0
571,A,A,0
572,E,F,2
573,A,A,0
574,D,D,0
575,D,E,0
576,A,A,0
577,D,D,0
578,E,E,0
579,D,C,2
580,A,A,0
581,A,A,0
582,D,D,0
583,E,E,0
584,A,A,0
585,A,A,1
586,A,A,0
587,D,D,0
588,A,A,0
589,D,D,0
590,G,G,0
591,A,A,0
592,A,A,0
593,E,E,0
594,E,E,0
595,G,G,0
596,A,A,0
597,A,A,0
598,A,A,0
599,A,A,0
600,A,A,0
601,A,A,0
602,A,A,0
603,A,A,0
604,D,D,0
605,A,A,0
606,A,A,2
607,D,D,1
608,A,C,0
609,E,F,1
610,A,A,0
611,A,A,0
612,E,E,0
613,H,G,1
614,A,A,0
615,A,A,1
616,A,A,0
617,A,B,0
618,D,D,0
619,D,D,1
620,H,H,1
621,A,C,0
622,A,A,0
623,A,C,0
624,A,C,0
625,A,F,0
626,A,A,0
627,E,E,0
628,D,D,0
629,A,A,0
630,A,A,0
631,A,A,1
632,A,A,0
633,D,D,0
634,H,H,0
635,A,C,0
636,A,A,0
637,A,A,0
638,A,C,0
639,A,D,0
